268	324
281	323
297	322
314	320
327	320
341	320
328	507
426	511
439	318
455	321
475	326
485	326
500	334
516	341
528	346
535	349
539	320
592	229
598	227
598	153
582	151
582	176
571	176
570	154
555	154
553	174
542	175
542	155
525	153
524	173
516	174
515	91
473	28
429	90
427	114
399	130
397	139
376	100
349	142
345	76
376	76
379	33
366	34
367	49
361	50
360	35
349	33
347	50
338	50
337	32
328	32
324	49
310	49
311	32
296	32
294	50
283	50
282	31
263	31
266	76
297	78
299	172
293	172
291	155
274	154
274	172
266	172
267	152
251	151
247	172
235	172
233	151
212	151
213	217
228	221
269	297
268	324
