460	521
459	521
458	521
457	522
456	522
455	523
454	523
456	522
458	521
461	520
463	519
466	518
469	517
472	515
474	515
475	514
477	513
478	513
478	512
479	512
480	512
480	511
478	513
477	513
476	514
474	515
473	516
472	516
471	517
470	517
469	518
468	518
467	519
466	519
465	519
464	520
463	520
462	520
461	520
460	521
459	521
458	521
457	522
460	521
461	521
460	522
459	523
458	523
458	524
457	524
456	525
455	525
454	526
454	527
454	528
454	529
454	530
454	531
454	532
454	533
454	534
454	535
454	536
453	537
453	538
453	539
453	540
453	541
453	542
452	543
453	543
454	543
454	542
455	542
455	541
455	540
455	539
455	538
455	537
456	536
457	536
458	536
459	536
460	535
461	535
462	535
463	534
464	534
465	534
466	533
467	533
468	532
469	532
469	531
470	531
471	531
471	530
472	530
472	529
470	531
469	532
468	533
467	534
466	534
465	535
464	535
463	536
462	536
461	537
460	537
460	538
459	538
458	538
457	538
457	539
456	539
455	539
454	540
454	541
454	542
453	543
453	544
453	545
454	545
454	546
455	546
456	546
457	546
458	546
460	546
461	546
462	546
463	545
464	544
465	544
466	544
466	543
467	543
468	542
469	542
470	541
470	540
471	540
470	541
469	541
469	542
468	542
468	543
467	543
466	544
465	545
464	545
463	545
463	546
462	546
461	546
460	546
460	547
459	547
458	547
457	547
457	548
456	548
455	549
455	550
455	551
455	552
456	552
456	553
456	554
457	554
457	555
458	555
458	556
459	556
460	556
461	557
462	557
463	557
464	558
465	558
466	558
467	558
468	557
469	557
469	556
470	556
470	555
471	555
471	554
472	554
472	553
473	553
474	552
475	551
474	553
473	553
472	554
471	555
470	555
470	556
469	557
468	557
468	558
467	558
467	559
466	559
