2	62
18	60
43	62
80	63
103	63
138	64
173	64
227	64
273	66
319	66
375	66
434	61
473	58
526	58
582	58
618	60
653	60
660	61
662	96
648	98
633	113
628	154
627	178
620	203
618	216
596	209
594	160
592	130
586	114
566	96
534	92
514	105
509	132
506	154
506	175
508	194
508	205
474	209
480	157
478	135
474	115
461	99
445	94
414	96
388	107
379	129
376	162
373	189
372	203
371	208
337	204
335	152
333	136
327	113
320	105
312	98
286	92
273	91
250	101
243	121
233	150
230	173
229	189
229	200
229	206
187	203
191	172
191	157
190	136
181	115
167	102
154	96
134	92
110	93
91	119
87	134
86	159
86	176
82	196
80	205
56	204
55	181
54	163
55	139
55	120
45	101
31	90
19	86
9	86
4	85
